id,spec,lat,long,sp10.1,sp10.2,sp10.3,sp14.1,sp14.2,morph,inguinal_scute
33,LACM 67413,34.512975,120.497326,CCR,CCR,CCR,pall,pall,NA,1
42,CAS 29575,43.6608,123.3175,marm,marm,marm,marm,marm,marm,1
43,NMNH 297155,43.27972222,123.3755556,marm,marm,marm,marm,marm,marm,1
45,NMNH 21389,42.704981,121.993217,marm,marm,marm,marm,marm,marm,1
46,NMNH 21390,42.704981,121.993217,marm,marm,marm,marm,marm,marm,1
47,NMNH 21391,42.704981,121.993217,marm,marm,marm,marm,marm,marm,1
48,NMNH 21392,42.704981,121.993217,marm,marm,marm,marm,marm,marm,1
52,CAS 20160,42.2306,121.7983,marm,marm,marm,marm,marm,marm,1
55,CAS 44271,41.9047,121.6456,marm,marm,marm,marm,marm,marm,1
56,CAS 44273,41.9047,121.6456,marm,marm,marm,marm,marm,marm,1
57,CAS 44272,41.9047,121.6456,marm,marm,marm,marm,marm,marm,1
58,JRB 0042,41.774224,122.57709,marm,marm,marm,marm,marm,marm,1
59,CAS 3782,41.7283,122.55439,marm,marm,marm,marm,marm,marm,0
60,NMNH 13804,41.5715,121.8528,marm,marm,marm,marm,marm,marm,1
61,NMNH 220756,41.5715,121.8528,marm,marm,marm,marm,marm,marm,1
64,MVZ 208230,41.5346702,122.5089399,marm,marm,marm,marm,marm,marm,1
66,CAS 43582,41.52083,122.51917,marm,marm,marm,marm,marm,marm,1
67,CAS 43584,41.52083,122.51917,marm,marm,marm,marm,marm,marm,1
69,CAS 43587,41.52083,122.51917,marm,marm,marm,marm,marm,marm,1
73,LACM 7995,40.866578,124.082986,marm,marm,marm,marm,marm,marm,1
74,MVZ 78785,40.7376216999999,122.071585799999,marm,marm,marm,marm,marm,marm,1
76,MVZ 39147,40.55443,123.143919999999,marm,marm,marm,marm,marm,marm,1
78,MVZ 39149,40.55443,123.143919999999,marm,marm,marm,marm,marm,marm,1
79,MVZ 98670,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
80,MVZ 98671,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
81,MVZ 98672,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
86,MVZ 98678,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
87,MVZ 98679,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
88,MVZ 98680,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
89,MVZ 98681,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
91,MVZ 98683,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
92,MVZ 98684,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
93,MVZ 98685,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
96,MVZ 98688,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
97,MVZ 98689,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
99,MVZ 98691,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
100,MVZ 98692,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
101,MVZ 98693,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
102,MVZ 98694,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
103,MVZ 98695,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
104,MVZ 98696,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
105,MVZ 98697,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
106,MVZ 98698,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
107,MVZ 98699,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
108,MVZ 98700,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
109,MVZ 98701,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
110,MVZ 98702,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
111,MVZ 98704,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
112,MVZ 98705,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
113,MVZ 98706,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
114,MVZ 98707,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
115,MVZ 98708,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
116,MVZ 98709,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,0
117,MVZ 98710,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,0
118,MVZ 98711,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
119,MVZ 98713,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
120,MVZ 98714,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
121,MVZ 98715,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
122,MVZ 98716,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
125,MVZ 98720,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
126,MVZ 98721,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
127,MVZ 98722,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
128,MVZ 98724,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
131,MVZ 98727,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
133,MVZ 98729,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
134,MVZ 98730,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
135,MVZ 98731,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
136,MVZ 98732,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
137,MVZ 98733,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
138,MVZ 98735,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
139,MVZ 98736,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
140,MVZ 98737,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
141,MVZ 98744,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
142,MVZ 98745,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
143,MVZ 98746,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
144,MVZ 98747,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
145,MVZ 98748,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
146,MVZ 98749,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
147,MVZ 98750,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
148,MVZ 98751,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
149,MVZ 98752,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
150,MVZ 98753,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
151,MVZ 98754,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
152,MVZ 98765,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
154,MVZ 98767,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
155,MVZ 98768,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
156,MVZ 98769,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
157,MVZ 98770,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
158,MVZ 98771,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
160,MVZ 98773,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
161,MVZ 98774,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
162,MVZ 98775,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
163,MVZ 98776,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
165,MVZ 98778,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,1
166,MVZ 98779,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
167,MVZ 98780,40.5494448,123.20742,marm,marm,marm,marm,marm,marm,NA
