individual,Specimen,Lat,Long,year,2011 Bin sch. 1,2011 Bin sch. 2,2011 Bin sch. 3,Spinks group (prelim),,Parham sex,Buskirk sex,prelim sex bin,notes,,Specimens are in the order in which they appear in the TPS file.,
1,CAS 1223,37.44194,122.14194,1893,CCR,CCR,CCR,1?,1,J,J,3,,,Yellow = lat/long not listed in catalogue and/or no recorded date,
2,CAS 1236,37.44194,122.14194,1893,CCR,CCR,CCR,1?,1,F,F,2,,,Green = possible coords checked/updated in atlas or online,
3,CAS 1238,37.3281,122.3681,1892,CCR,CCR,CCR,1?,1,M,m,1,,,,
4,CAS 1240,37.45,122.1667,1893,CCR,CCR,CCR,1?,1,J,F?,3,"coords on boundary between San mateo and Santa Clara County, close to stanford campus",,,
5,CAS 2735,42.2306,121.7983,1894,marm,marm,marm,1,1,J,J,3,"oregon; coords are from online version of USGS topo map for Klamath Falls (waterfall, not town)",,,
6,CAS 2736,42.2306,121.7983,1894,marm,marm,marm,1,1,j,j,1,"oregon; coords are from online version of USGS topo map for Klamath Falls (waterfall, not town)",,,
7,CAS 3170,37.44194,122.14194,1897,CCR,CCR,CCR,1?,1,M,M,1,,,,
8,CAS 3761,37.44194,122.14194,1898,CCR,CCR,CCR,1?,1,F,F,2,,,,
9,CAS 3782,41.7283,122.55439,,marm,marm,marm,1,1,F,F,2,coords for where hwy 3 crosses shasta river near montague,,,
10,CAS 4215,38.7014,123.4147,1897,marm,marm,marm,1,1,J,J,3,,,,
11,CAS 4227,38.41944,122.35278,1897,marm,marm,marm,1,1,J,J,3,,,,
12,CAS 6078,38.5789,122.5786,1897,marm,marm,marm,1,1,J,J,3,"coords for calistoga, very close to napa river",,,
13,CAS 7759,30.7342,115.62619,1936,pall,pall,pall,4,4,J,J,3,"coords are for a ranch called San Antonio that is near the San Pedro Martir mts., a few miles south of Valladeres Creek; it is on a creek that is also called San Antonio",,,
14,CAS 7789,42.9281,122.9542,1937,marm,marm,marm,1,1,J,J,3,oregon; coords are for a point on umpqua river next to Tiller (a populated place) in Umpqua National Forest (from online USGS topo),,,
15,CAS 7801,37.128,119.524,1934,marm,marm,SJ,2?,2,J,J,3,"coords for Kerchoff dam, but match up for lake in atlas",,,
16,CAS 7847,37.4272,122.1775,1898,CCR,CCR,CCR,1?,1,J,J,3,"Coords for Stanford Univ., but very close to a pond on map",,,
17,CAS 8611,37.0043,119.8417,1899,marm,marm,SJ,1?,1,M,M?,1,Pollasky is now called Friant; no direct road there from Raymond; Coords for an improved crossing close to raymond,,,
18,CAS 8612,40.7375,122.4875,1937,marm,marm,marm,1,1,J,J,3,no record of Idalpom found; approx coords for junction of North and South forks of Squaw Creek,,,
19,CAS 8623,36.01528,121.24889,1939,CCR,CCR,CCR,1,1,F,J,2,,,,
20,CAS 8624,42.5958,114.3994,1894,?,?,?,1?,1,J,J,3,"Idaho; Coords are for a point slightly upstream of Shoshone Falls, which is east of the town of Twin Falls (from USGS online topo)",,,
21,CAS 8643,37.1339,122.2667,1936,CCR,CCR,CCR,1?,1,J,J,3,Coords for junction of east and west waddell creek,,,
22,CAS 9697,36.01528,121.24889,1941,CCR,CCR,CCR,1,1,F,F,2,,,,
23,CAS 11889,37.344,121.7167,1948,CCR,CCR,CCR,1?,1,J,J,3,"coords for pond in Joseph D. Grant County Park, just off Rt. 130 near Mt. Hamilton and Lick observatory",,,
24,CAS 13174,38.3389,122.3817,1906,marm,marm,marm,1,1,j,j,3,"Coords are for a place on redwood creek near mt. veeder, close to where Theodore Gier had some winery buildings (now owned by Donald Hess) at 4411 Redwood dr.",,,
25,CAS 13175,38.3389,122.3817,1906,marm,marm,marm,1,1,J,F,3,"Coords are for a place on redwood creek near mt. veeder, close to where Theodore Gier had some winery buildings (now owned by Donald Hess) at 4411 Redwood dr.",,,
26,CAS 13176,38.3389,122.3817,1906,marm,marm,marm,1,1,M,m?,1,"Coords are for a place on redwood creek near mt. veeder, close to where Theodore Gier had some winery buildings (now owned by Donald Hess) at 4411 Redwood dr.",,,
27,CAS 13643,36.555,121.91833,1908,CCR,CCR,CCR,1?,1,J,J,3,,,,
28,CAS 13893,34.5417,118.7633,1950,CCR,CCR,CCR,4?,4,J,J,3,"Coords are for a point on Piru creek approximately 10 miles north (measured north 10 miles, then straight east to creek) of Piru",,,
29,CAS 13894,34.5417,118.7633,1950,CCR,CCR,CCR,4?,4,F,F,2,"Coords are for a point on Piru creek approximately 10 miles north (measured north 10 miles, then straight east to creek) of Piru",,,
30,CAS 13895,34.3972,119.2882,1949,CCR,CCR,CCR,3?,3,F,F,2,Coords are for point on San Antonio creek approximately 2.5 miles north (measured northeast) of Casitas springs,,,
31,CAS 13896,34.3972,119.2882,1949,CCR,CCR,CCR,3?,3,J,J,3,Coords are for point on San Antonio creek approximately 2.5 miles north (measured northeast) of Casitas springs,,,
32,CAS 13897,38.3153,119.0917,1948,marm,marm,SJ,1,1,M,M,1,coords are for a point on the Santa Clara river approximatley 4 miles southwest of middle of Santa Paula,,,
33,CAS 13898,34.5847,119.2678,1948,CCR,CCR,CCR,3,3,M,M,1,Coords for confluence of potrero john and sespe creeks,,,
34,CAS 13899,41.0461,122.3903,1950,marm,marm,marm,1,1,J,J,3,Coords for Shiloah Mineral Springs,,,
35,CAS 13900,37.3856,121.5714,1950,CCR,CCR,CCR,1?,1,M,F,1,Cords for Arroyo Bayo,,,
36,CAS 15131,39.5281,122.4542,1938,marm,marm,marm,1,1,J,J,3,Coords for Sherwood valley,,,
37,CAS 15132,39.5281,122.4542,1938,marm,marm,marm,1,1,J,J,3,Coords for Sherwood valley,,,
38,CAS 18163,37.42194,122.175,1953,CCR,CCR,CCR,1?,1,J,J,3,,,,
39,CAS 20160,42.2306,121.7983,1909,marm,marm,marm,1,1,M,M,1,"oregon; coords are from online version of USGS topo map for Klamath Falls (waterfall, not town)",,,
40,CAS 20762,38.3583,123.0386,1957,marm,marm,marm,1,1,M,M,1,coords for pepperwood gulch; not shown labeled in atlas,,,
41,CAS 27310,36.53611,121.92694,1909,CCR,CCR,CCR,1?,1,J,J,3,,,,
42,CAS 27937,38.45389,123.05389,1911,marm,marm,marm,1,1,J,J,3,,,,
43,CAS 28016,38.6931,123.0256,1911,marm,marm,marm,1,1,J,J,3,Coords for skaggs springs,,,
44,CAS 29575,43.6608,123.3175,1911,marm,marm,marm,1,1,F,F,2,oregon; coords are for a point on Elk Creek near the center of town of Drain; from USGS Topo Map,,,
45,CAS 30882,33.75,117.6667,1911,pall,pall,pall,4,4,J,j,3,"Coords are for a point on an unnamed (at least on map) creek in Silverado Canyon, Orange Cty.; easily measurable body of water that seem a reasonable appoximation given vagueness of data",,,
46,CAS 33372,37.76528,122.24056,1912,CCR,CCR,CCR,1?,1,J,J,3,,,,
47,CAS 40034,32.9506,117.0489,1915,pall,pall,pall,4,4,J,J,3,"Coords for junction of rattlesnake and poway creeks, within town of Poway",,,
48,CAS 40035,32.9506,117.0489,1915,pall,pall,pall,4,4,J,J,3,"Coords for junction of rattlesnake and poway creeks, within town of Poway",,,
49,CAS 43441,35.195,119.29639,1917,CCR,marm,SJ,2?,2,F,F?,2,,,,
50,CAS 43442,35.195,119.29639,1917,CCR,marm,SJ,2?,2,M,M,1,,,,
51,CAS 43443,35.195,119.29639,1917,CCR,marm,SJ,2?,2,F,F?,2,,,,
52,CAS 43444,35.195,119.29639,1917,CCR,marm,SJ,2?,2,F,F,2,,,,
53,CAS 43445,35.195,119.29639,1917,CCR,marm,SJ,2?,2,F,F,2,,,,
54,CAS 43446,35.195,119.29639,1917,CCR,marm,SJ,2?,2,M,M,1,,,,
55,CAS 43447,35.195,119.29639,1917,CCR,marm,SJ,2?,2,F,F,2,,,,
56,CAS 43448,35.195,119.29639,1917,CCR,marm,SJ,2?,2,F,F,2,,,,
57,CAS 43449,35.195,119.29639,1917,CCR,marm,SJ,2?,2,F,F,2,,,,
58,CAS 43450,35.195,119.29639,1917,CCR,marm,SJ,2?,2,m?,M?,?,,,,
59,CAS 43527,37.95778,121.28972,1917,CCR,CCR,CCR,1?,1,m,m,2,,,,
60,CAS 43582,41.52083,122.51917,1917,marm,marm,marm,1,1,m,m,2,,,,
61,CAS 43584,41.52083,122.51917,1917,marm,marm,marm,1,1,F,F,2,,,,
62,CAS 43586,41.52083,122.51917,1917,marm,marm,marm,1,1,j,j,2,,,,
63,CAS 43587,41.52083,122.51917,1917,marm,marm,marm,1,1,F,F,2,,,,
64,CAS 44271,41.9047,121.6456,1918,marm,marm,marm,1,1,F,F,2,Coords for a point on SE side of lower Klamath lake,,,
65,CAS 44273,41.9047,121.6456,1918,marm,marm,marm,1,1,F,F,2,Coords for a point on SE side of lower Klamath lake,,,
66,CAS 50473,34.4389,118.9267,1921,CCR,CCR,CCR,3?,3,M,M,1,coords for a point on sespe creek approx 3 miles north of center of filmore,,,
67,CAS 53932,39.005,122.79222,1922,marm,marm,marm,1,1,J,J,3,,,,
68,CAS 53943,36.8257,121.3983,1922,CCR,CCR,CCR,1?,1,f,F?,3,Coords are for a point on the San Benito River south of the center of Hollister ,,,
69,CAS 56884,30.9167,115.6357,1923,pall,pall,pall,4,4,?,M?,?,"La Joya is not on map, but I did find Valladares Creek in San PEdro Matir Mts.; coords are for el portrero ranch, which seem close (but not within 2 miles) of the coords the NGA GNS database came up with for a L Joya (that is not labeled on map) in this general area",,,
