individual,Specimen,Lat,Long,year,2011 Bin sch. 1,2011 Bin sch. 2,2011 Bin sch. 3,Spinks group (prelim),,Parham sex,Buskirk sex,prelim sex bin
1,CAS 1223,37.44194,122.14194,1893,CCR,CCR,CCR,1?,1,J,J,3
2,CAS 1236,37.44194,122.14194,1893,CCR,CCR,CCR,1?,1,F,F,2
3,CAS 1238,37.3281,122.3681,1892,CCR,CCR,CCR,1?,1,M,m,1
4,CAS 1240,37.45,122.1667,1893,CCR,CCR,CCR,1?,1,J,F?,3
5,CAS 2735,42.2306,121.7983,1894,marm,marm,marm,1,1,J,J,3
6,CAS 2736,42.2306,121.7983,1894,marm,marm,marm,1,1,j,j,1
7,CAS 3170,37.44194,122.14194,1897,CCR,CCR,CCR,1?,1,M,M,1
8,CAS 3761,37.44194,122.14194,1898,CCR,CCR,CCR,1?,1,F,F,2
9,CAS 3782,41.7283,122.55439,,marm,marm,marm,1,1,F,F,2
10,CAS 4215,38.7014,123.4147,1897,marm,marm,marm,1,1,J,J,3
11,CAS 4227,38.41944,122.35278,1897,marm,marm,marm,1,1,J,J,3
12,CAS 6078,38.5789,122.5786,1897,marm,marm,marm,1,1,J,J,3
13,CAS 7759,30.7342,115.62619,1936,pall,pall,pall,4,4,J,J,3
14,CAS 7789,42.9281,122.9542,1937,marm,marm,marm,1,1,J,J,3
15,CAS 7801,37.128,119.524,1934,marm,marm,SJ,2?,2,J,J,3
16,CAS 7847,37.4272,122.1775,1898,CCR,CCR,CCR,1?,1,J,J,3
17,CAS 8611,37.0043,119.8417,1899,marm,marm,SJ,1?,1,M,M?,1
18,CAS 8612,40.7375,122.4875,1937,marm,marm,marm,1,1,J,J,3
19,CAS 8623,36.01528,121.24889,1939,CCR,CCR,CCR,1,1,F,J,2
20,CAS 8624,42.5958,114.3994,1894,?,?,?,1?,1,J,J,3
21,CAS 8643,37.1339,122.2667,1936,CCR,CCR,CCR,1?,1,J,J,3
22,CAS 9697,36.01528,121.24889,1941,CCR,CCR,CCR,1,1,F,F,2
23,CAS 11889,37.344,121.7167,1948,CCR,CCR,CCR,1?,1,J,J,3
24,CAS 13174,38.3389,122.3817,1906,marm,marm,marm,1,1,j,j,3
25,CAS 13175,38.3389,122.3817,1906,marm,marm,marm,1,1,J,F,3
