Individual,Specimen #
1,CAS 12837
2,CAS 13025
3,CAS 12836
4,CAS 112013
5,LSUMZ 29559
6,LSUMZ 53432
7,LSUMZ 86130
8,MVZ 129944
9,MVZ 95949
10,UCMP 151904
11,UCMP 151905
12,UCMP 151906
13,UCMP 151907
14,UCMP 151908
15,UCMP 151909
16,UCMP 151910
17,SDMNH 24501
18,SDMNH 47152
19,SDMNH 57846
20,SDMNH 62422
21,SDMNH 62498
22,SDMNH 62532
23,NMNH 7551
24,NMNH 9934
25,NMNH 9935
26,NMNH 16710
27,NMNH 21180
28,NMNH 21414
29,NMNH 33504
30,NMNH 35426
31,NMNH 35427
32,NMNH 35428
33,NMNH 51486
34,NMNH 55564
35,NMNH 55565
36,NMNH 55566
37,NMNH 59988
38,NMNH 71525
39,NMNH 79635
40,NMNH 85027
41,NMNH 85028
42,NMNH 86794
43,NMNH 92520
44,NMNH 109169
45,NMNH 113229
46,NMNH 131833
47,NMNH 141766
48,NMNH 141767
49,NMNH 141768
50,NMNH 145607
51,NMNH 167554
52,NMNH 220869
53,NMNH 220870
54,NMNH 288143
55,NMNH 288144
56,NMNH 288145
57,NMNH 288146
58,NMNH 288355
59,NMNH 288356
60,NMNH 292994
61,UMZC R3459
62,UMZC R18070
63,FMNH 2435
64,FMNH 2625
65,FMNH 3046
66,FMNH 3247
67,FMNH 3418
68,FMNH 3427
69,FMNH 5952
70,FMNH 5954
71,FMNH 5964
72,FMNH 7433
73,FMNH 11029
74,FMNH 11046
75,FMNH 11230
76,FMNH 15670
77,FMNH 15673
78,FMNH 15696
79,FMNH 15910
80,FMNH 21690
81,FMNH 22077
82,FMNH 22576
83,FMNH 23547
84,FMNH 28258
85,FMNH 28499
86,FMNH 37197
87,FMNH 37930
88,FMNH 37997
89,FMNH 44999
90,FMNH 45819
91,FMNH 63925
92,FMNH 92119
93,FMNH 92120
94,FMNH 166549
95,FMNH 166550
96,FMNH 166551
97,FMNH 203760
98,FMNH 259806
99,FMNH 261563
100,FMNH 265272
101,FMNH 266570
102,FMNH 270553
103,FMNH 270554
104,CAS 228434
105,TMM M-9151
106,TMM M-9323
