individual,specimen #
1,JRB Cuarto
2,JRB Dos
3,JRB 0016
4,JRB Quinto
5,JRB Tres
6,JRB Uno
7,NMNH 159575
8,NMNH 159576
9,NMNH 159577
10,NMNH 159578
11,NMNH 166366
12,NMNH 166367
13,NMNH 166368
14,NMNH 166369
15,NMNH 166370
16,NMNH 508654
17,LSUMZ 23621
18,LSUMZ 23622
19,LSUMZ 38392
20,LSUMZ 38933
21,LSUMZ 74359
22,FMNH 41234
23,FMNH 41235
24,FMNH 47372
25,FMNH 55656
26,FMNH 266539
27,TNHC 28929
28,TNHC 32920
29,TNHC 67347
30,TNHC 68333
31,TNHC 68334
32,TNHC 68336
33,TNHC 68337
34,TNHC 68338
35,TNHC 68339
36,TNHC 68340
37,TNHC 68342
38,TNHC 68343
39,TNHC 68344
40,TNHC 68345
41,TNHC 68346
42,TNHC 68351
43,TNHC 68352
44,TNHC 68353
45,TNHC 68354
46,TNHC 68355
47,TNHC 68356
48,TNHC 68360
49,TNHC 68361
50,TNHC 68941
51,TNHC 68943
52,TNHC 68945
53,TNHC 68947
54,TNHC 68948
55,TNHC 68949
56,TNHC 68950
57,TNHC 68951
58,TNHC 68952
59,TNHC 68954
60,TNHC 68955
61,TNHC 68957
62,TNHC 68959
63,TNHC 68960
64,TNHC 68961
65,TNHC 68962
66,TNHC 68963
67,TNHC 68965
68,TNHC 68966
69,TNHC 69624
70,TNHC 69625
71,TNHC 69627
72,TNHC 69630
73,TNHC 69631
74,TNHC 69632
75,TNHC 69634
76,TNHC 69635
77,TNHC 69637
78,TNHC 69638
79,TNHC 69639
80,TNHC 69640
81,TNHC 69642
82,TNHC 69643
83,TNHC 69644
84,TNHC 69646
85,TNHC 69647
86,TNHC 69648
87,TNHC 69649
88,TNHC 69650
89,TNHC 69651
90,TNHC 69652
91,TNHC 69653
92,TNHC 69801
93,TNHC 69804
94,TNHC 69805
95,TNHC 69806
96,TNHC 69808
97,TNHC 69810
98,TNHC 69811
99,TNHC 69812
100,TNHC 69813
101,TNHC 69814
102,TNHC 69815
103,TNHC 69816
104,TNHC 77201
105,TNHC 77206
106,TNHC 84709
