individual,specimen #
1,CAS 12867
2,CAS 12866
3,CAS 12868
4,CAS 65042
5,CAS 54883
6,CAS 54822
7,CAS 8966
8,CAS 9698
9,CAS 8999
10,CAS 7220
11,CAS 65049
12,LSUMZ 7517
13,LSUMZ 8522
14,LSUMZ 9142
15,LSUMZ 47445
16,LSUMZ 55451
17,LSUMZ 74138
18,LSUMZ 74139
19,MSE 12831
20,MSE uncat guttata
21,MVZ 43721
22,MVZ 147990
23,MVZ 230506
24,MVZ 8806
25,MVZ 147504
26,MVZ 38450
27,MVZ 38451
28,MVZ 175961
29,UCMP 140843
30,UCMP 124966
31,UCMP 140844
32,LACM 7987
33,LACM7988
34,LACM 7989
35,LACM 23493
36,LACM 23494
37,LACM 23495
38,LACM 23496
39,LACM 61181
40,LACM 61182
41,LACM 66684
42,LACM 74397
43,LACM 105308
44,SDMNH 24500
45,SDMNH 48526
46,SDMNH 62404
47,NMNH 4778
48,NMNH 6589
49,NMNH 6593
50,NMNH 7161
51,NMNH 7605
52,NMNH 7734
53,NMNH 8864
54,NMNH 9022
55,NMNH 11603
56,NMNH 11644
57,NMNH 12701
58,NMNH 16685
59,NMNH 16998
60,NMNH 17372
61,NMNH 19936
62,NMNH 21421
63,NMNH 22780
64,NMNH 22781
65,NMNH 23330
66,NMNH 23331
67,NMNH 26177
68,NMNH 28641
69,NMNH 28642
70,NMNH 28643
71,NMNH 28644
72,NMNH 28645
73,NMNH 30905
74,NMNH 31644
75,NMNH 35400
76,NMNH 35402
77,NMNH 35403
78,NMNH 35646
79,NMNH 35647
80,NMNH 35648
81,NMNH 42275
82,NMNH 42715
83,NMNH 45320
84,NMNH 45348
85,NMNH 45533
86,NMNH 45534
87,NMNH 45539
88,NMNH 45540
89,NMNH 45565
90,NMNH 45566
91,NMNH 45766
92,NMNH 45767
93,NMNH 48352
94,NMNH 48353
95,NMNH 51785
96,NMNH 52394
97,NMNH 52549
98,NMNH 55611
99,NMNH 55612
100,NMNH 60883
101,NMNH 61972
102,NMNH 61973
103,NMNH 61974
104,NMNH 63406
105,NMNH 63407
106,NMNH 63408
107,NMNH 63409
108,NMNH 63410
109,NMNH 63411
110,NMNH 64195
111,NMNH 66655
112,NMNH 66656
113,NMNH 66657
114,NMNH 67119
115,NMNH 68786
116,NMNH 73253
117,NMNH 73254
118,NMNH 73255
119,NMNH 75115
120,NMNH 76969
121,NMNH 76970
122,NMNH 76971
123,NMNH 77030
124,NMNH 77031
125,NMNH 80942
126,NMNH 83350
127,NMNH 83351
128,NMNH 83355
129,NMNH 107700
130,NMNH 107777
131,NMNH 107887
132,NMNH 107888
133,NMNH 107889
134,NMNH 108905
135,NMNH 108906
136,NMNH 108907
137,NMNH 108908
138,NMNH 108909
139,NMNH 108910
140,NMNH 108911
141,NMNH 108912
142,NMNH 108913
143,NMNH 108914
144,NMNH 108915
145,NMNH 108916
146,NMNH 108918
147,NMNH 108919
148,NMNH 108920
149,NMNH 108921
150,NMNH 108922
151,NMNH 108923
152,NMNH 110489
153,NMNH 110490
154,NMNH 121530
155,NMNH 121531
