Individual,Specimen #
1,CAS 33398
2,CAS 86820
3,CAS 54430
4,CAS 9071
5,CAS 54480
6,LSUMZ 9523
7,LSUMZ 47095
8,LSUMZ 83813
9,MSE uncat insculpta
10,MVZ 8348
11,MVZ 95946
12,UCMP 140385
13,LACM 1024
14,LACM 61183
15,SDMNH 47148
16,NMNH 4781
17,NMNH 7869
18,NMNH 8904
19,NMNH 10547
20,NMNH 11643
21,NMNH 14582
22,NMNH 16689
23,NMNH 18057
24,NMNH 23332
25,NMNH 36801
26,NMNH 37019
27,NMNH 38867
28,NMNH 48942
29,NMNH 50043
30,NMNH 51207
31,NMNH 51208
32,NMNH 51462
33,NMNH 54097
34,NMNH 54763
35,NMNH 55535
36,NMNH 61095
37,NMNH 62556
38,NMNH 63088
39,NMNH 64239
40,NMNH 71727
41,NMNH 71728
42,NMNH 73200
43,NMNH 76591
44,NMNH 77029
45,NMNH 104339
46,NMNH 107640
47,NMNH 107641
48,NMNH 108707
49,NMNH 108924
50,NMNH 108925
51,NMNH 108926
52,NMNH 108927
53,NMNH 108928
54,NMNH 115608
55,NMNH 124627
56,NMNH 134407
57,NMNH 136639
58,NMNH 138657
59,NMNH 167535
60,NMNH 181829
61,NMNH 192870
62,NMNH 195392
63,NMNH 198557
64,NMNH 217289
65,NMNH 217290
66,NMNH 220747
67,NMNH 220862
68,NMNH 220864
69,NMNH 258741
70,NMNH 279172
71,NMNH 279173
72,NMNH 279174
73,NMNH 279316
74,NMNH 288128
75,NMNH 288129
76,NMNH 288130
77,NMNH 288131
78,NMNH 288350
79,NMNH 288351
80,NMNH 288352
81,NMNH 293624
82,NMNH 319506
83,FMNH 4172
84,FMNH 6452
85,FMNH 14715
86,FMNH 14814
87,FMNH 14815
88,FMNH 19213
89,FMNH 83422
90,FMNH 83423
91,FMNH 83424
92,FMNH 83427
93,FMNH 92115
94,FMNH 92116
95,FMNH 92117
96,FMNH 211581
97,FMNH 211582
98,FMNH 270555
99,CAS 228413
