individual,Specimen #
1,MVZ 7972
2,MVZ 7973
3,MVZ 7974
4,MVZ 7975
5,MVZ 7976
6,MVZ 7977
7,MVZ 7978
8,MVZ 7979
9,MVZ 7980
10,MVZ 7981
11,MVZ 7982
12,MVZ 13922
13,MVZ 13923
14,MVZ 14899
15,MVZ 14900
16,MVZ 14901
17,MVZ 14902
18,MVZ 16032
19,MVZ 16033
20,MVZ 16050
21,MVZ 16516
22,MVZ 16518
23,MVZ 16519
24,MVZ 16520
25,MVZ 16521
26,MVZ 16522
27,MVZ 16523
28,MVZ 16524
29,MVZ 16525
30,MVZ 18980
31,MVZ 18981
32,MVZ 22419
33,MVZ 33896
34,MVZ 36634
35,MVZ 38218
36,MVZ 38329
37,MVZ 38330
38,MVZ 38436
39,MVZ 38437
40,MVZ 38438
41,MVZ 38439
42,MVZ 38453
43,MVZ 40475
44,MVZ 41591
45,MVZ 43717
46,MVZ 43718
47,MVZ 45741
48,MVZ 46651
49,MVZ 46652
50,MVZ 46653
51,MVZ 46654
52,MVZ 49996
53,MVZ 49997
54,MVZ 49998
55,MVZ 49999
56,MVZ 50000
57,MVZ 53944
58,MVZ 59523
59,MVZ 64495
60,MVZ 65761
61,MVZ 72619
62,MVZ 72620
63,MVZ 72844
64,MVZ 72845
65,MVZ 72846
66,NMNH 9937
67,NMNH 20991
68,NMNH 45771
69,NMNH 69548
70,NMNH 86416
71,NMNH 86420
72,NMNH 86423
73,NMNH 86428
74,NMNH 88622
75,NMNH 88623
76,NMNH 90436
77,NMNH 91032
78,NMNH 92630
79,NMNH 92631
80,NMNH 92665
81,NMNH 93766
82,NMNH 93767
83,NMNH 100527
84,NMNH 100528
85,NMNH 100897
86,NMNH 156812
87,NMNH 156813
88,NMNH 156814
89,NMNH 156815
90,NMNH 156816
91,NMNH 246654
92,NMNH 246667
93,NMNH 257793
94,NMNH 288240
95,FMNH 23006
96,FMNH 23014
97,FMNH 23016
98,FMNH 23024
99,FMNH 23029
100,FMNH 251259
101,FMNH 267668
102,LSUMZ 6169
103,LSUMZ 7713
104,LSUMZ 74367
105,LSUMZ 82541
