Individual,Specimen #
1,FMNH 11078
2,FMNH 12614
3,FMNH 12691
4,FMNH 15468
5,FMNH 15552
6,FMNH 15600a
7,FMNH 15600b
8,FMNH 15600c
9,FMNH 15600d
10,FMNH 15600e
11,FMNH 15600f
12,FMNH 15600g
13,FMNH 15900
14,FMNH 19311
15,FMNH 194166
16,FMNH 194303
17,FMNH 194304
18,FMNH 2010a
19,FMNH 2010b
20,FMNH 2010c
21,FMNH 2010d
22,FMNH 2042a
23,FMNH 2042b
24,FMNH 206073
25,FMNH 208314
26,FMNH 208315
27,FMNH 21738
28,FMNH 22900a
29,FMNH 22900b
30,FMNH 2440
31,FMNH 246879
32,FMNH 252660
33,FMNH 2609
34,FMNH 261755
35,FMNH 263979
36,FMNH 263980
37,FMNH 263985
38,FMNH 263986
39,FMNH 264003
40,FMNH 264021
41,FMNH 264022
42,FMNH 264023
43,FMNH 264024
44,FMNH 264025
45,FMNH 264026
46,FMNH 264027
47,FMNH 264028
48,FMNH 264051
49,FMNH 264053
50,FMNH 264072
51,FMNH 264073
52,FMNH 264075
53,FMNH 265166
54,FMNH 265295
55,FMNH 266850
56,FMNH 268948
57,FMNH 268949
58,FMNH 268950
59,FMNH 268953
60,FMNH 269643
61,FMNH 269654
62,FMNH 2727
63,FMNH 2832
64,FMNH 2852
65,FMNH 294
66,FMNH 3429
67,FMNH 35200
68,FMNH 35201
69,FMNH 35202
70,FMNH 35227
71,FMNH 359
72,FMNH 361
73,FMNH 42444
74,FMNH 42448
75,FMNH 42449
76,FMNH 42451
77,FMNH 434
78,FMNH 44958
79,FMNH 473
80,FMNH 5938
81,FMNH 6760
82,FMNH 8259
83,FMNH 826
84,FMNH 827
85,FMNH 8273
86,FMNH 92014
87,FMNH 92015
88,FMNH 92019
89,FMNH 92021
90,FMNH 92022
91,FMNH 92023
92,FMNH 92029
93,FMNH 92030
94,FMNH 92032
95,FMNH 92034
96,FMNH 92036
97,FMNH 92038
98,FMNH 92039
99,FMNH 92040
100,FMNH 92041
101,FMNH 92046a
102,FMNH 92046b
103,FMNH 92047
104,FMNH 92051
105,FMNH 92052
106,FMNH 92054
107,FMNH 92056
108,FMNH 92057
109,FMNH 92058
110,FMNH 92059
111,FMNH 92060
112,FMNH 92061
113,FMNH 92084
114,FMNH 92097
115,FMNH 92098
